Issue Key,Issue Type,Summary,Description,Priority,Story Points,Status
SCRUM-5,Epic,EPIC-1: Planificación y Auditoría Estática (SQAP Initial),"Auditoría inicial de software legacy KairosMix (Backend Spring Boot + Frontend React 19). Incluye análisis estático de código (ESLint, JaCoCo, Checkstyle), mapa de arquitectura, definición de alcance, stack tecnológico y gestión de riesgos según SQAP Sección A.",High,,Finalizado
SCRUM-6,Epic,EPIC-2: Pruebas Dinámicas - Bug Fixing y Refactorización,"Diseño e implementación de pruebas unitarias (JUnit 5, Mockito, Vitest) y pruebas End-to-End BDD con Cypress y Cucumber. Gestión del ciclo de vida de defectos (Bug Tracking), corrección de vulnerabilidades y refactorización de naming conventions.",High,,En curso
SCRUM-7,Epic,EPIC-3: Informe de Cierre - Métricas y Entrega Final,"Consolidación del informe final de cierre (Test Summary Report), medición de métricas cuantitativas (% Pass Rate, Densidad de Defectos, Cobertura JaCoCo), estructuración del repositorio AreadePruebas, compilación a PDF y guión del video de demostración.",High,,Por hacer
SCRUM-8,Story,KAIROS-1: Recuperar y desplegar SUT en entorno local de pruebas (Java 17 + React 19),"Como Ingeniero de SQA, se requiere desplegar el SUT KairosMix en un entorno local aislado (Backend en puerto 8080 con BD H2/MySQL y Frontend React Vite en puerto 5173). Criterios de Aceptación: Compilación exitosa, APIs accesibles y dependencias npm/maven resueltas.",High,3,Finalizado
SCRUM-9,Task,KAIROS-2: Ejecutar análisis estático inicial (ESLint en frontend - JaCoCo en backend),"Realizar la ejecución inicial de análisis de código sin modificar el fuente para medir la deuda técnica de partida. Entregables: Reporte inicial de ESLint (warnings/errors) y baseline de cobertura de código backend con JaCoCo.",High,5,Finalizado
SCRUM-10,Story,KAIROS-3: Redactar Plan SQAP Sección A (Alcance - Estrategia - Criterios Entry/Exit - Riesgos),"Elaboración del Plan Maestro de Aseguramiento de la Calidad (SQAP Sección A). Definición explícita de los módulos dentro/fuera de alcance (Clientes, Productos, Mezclas, Órdenes), justificación del stack de herramientas (JUnit, Mockito, Cypress, ESLint, JaCoCo), matriz de riesgos (RSK-01 a RSK-04) y criterios de Aceptación/Rechazo.",Highest,8,Finalizado
SCRUM-11,Task,KAIROS-4: Elaborar Matriz de Rastreabilidad Requisitos vs Casos de Prueba,"Diseñar la matriz de trazabilidad bidireccional mapeando Requisitos Funcionales (RF-01 a RF-08) contra Casos de Prueba diseñados (Unitarios, Integración, Cypress E2E). Entregable: MATRIZ_TRAZABILIDAD.md en carpeta AreadePruebas con 100% de cobertura.",Medium,5,En curso
SCRUM-12,Task,KAIROS-5: Ejecutar Pruebas Unitarias backend (JUnit 5/Mockito) y medir cobertura,"Ejecutar la suite completa de pruebas unitarias en las capas de Dominio, Aplicación e Infraestructura (167 tests unitarios). Generar reporte ejecutable JaCoCo verificando objetivo de cobertura > 80%.",High,5,En curso
SCRUM-13,Task,KAIROS-6: Ejecutar Suite End-to-End y BDD con Cypress + Cucumber en Frontend,"Ejecutar la automatización de pruebas funcionales de usuario sobre el navegador Chrome usando Cypress + Cucumber en sintaxis Gherkin (Dado-Cuando-Entonces). Validar flujos de creación de cliente, catálogo de productos y diseñador de mezclas personalizadas.",Highest,8,En curso
SCRUM-14,Bug,KAIROS-7: Corregir vulnerabilidades de validación - nulos y excepciones en controladores,"Corregir defectos identificados durante el testing dinámico: NullPointerException en mapeo de órdenes vacías (OrderMapper), inconsistencia de nombres en ClientDTO y warnings de variables sin uso en React. Aplicar validaciones @Valid y @NotNull.",High,5,En curso
SCRUM-15,Task,KAIROS-8: Refactorizar clases - componentes y métodos para cumplir Naming Conventions,"Limpieza y refactorización de código fuente en backend (Java camelCase/PascalCase) y frontend (React JSX, hooks). Eliminar imports obsoletos, código muerto y redeclaraciones de variables para cumplir estándares SQA.",Medium,3,Por hacer
SCRUM-16,Task,KAIROS-9: Re-ejecutar análisis estático "Después" y comparar reducción de Deuda Técnica,"Ejecutar segunda pasada de linteo estático con ESLint y reporte JaCoCo tras las correcciones de código. Evidenciar la reducción de code smells a 0 y la eliminación de warnings en el reporte final.",Medium,3,Por hacer
SCRUM-17,Story,KAIROS-10: Consolidar Informe de Cierre (Test Summary Report) y Conclusiones,"Redacción de las Secciones C y D del informe SQAP. Calcular métricas cuantitativas (% Pass Rate: 100%, Densidad de Defectos: 0.017 bugs/KLOC, Cobertura JaCoCo: 85%) y emitir la valoración crítica sobre la idoneidad del software para paso a producción.",Highest,5,Por hacer
SCRUM-18,Task,KAIROS-11: Estructurar carpeta AreadePruebas y compilar documento PDF final,"Organizar el directorio AreadePruebas/ dentro del repositorio SUT conteniendo todos los artefactos de calidad. Ejecutar script convert_md_to_pdf.py para generar el entregable final GRUPO#_PROYECTOFINAL_PARCIAL3.pdf.",High,5,Por hacer
SCRUM-19,Task,KAIROS-12: Elaborar guión estructurado y evidencias para el Video Demo de 5-7 min,"Crear la guía y guión técnico de locución paso a paso (script_video_demo.md) para la grabación del video de demostración de 5-7 minutos, desglosando tiempos para introducción, consola Maven, Cypress E2E, flujo manual UI e informe de cierre.",High,3,Por hacer
